"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7601","cancelingNewsFilteringWhenNoFieldsAreFieldIn","","Sun Aug 31 12:53:21 NOVT 2025","passed","Sun Aug 31 12:53:29 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","cancelingNewsFilteringWhenNoFieldsAreFieldIn"
"","9614","filteringNewsWithAllFieldWithValidData","","Sun Aug 31 13:02:51 NOVT 2025","passed","Sun Aug 31 13:03:01 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.FilterNewsPageNewsTest","ru.iteco.fmhandroid.ui.tests.FilterNewsPageNewsTest","filteringNewsWithAllFieldWithValidData"
"","6830","buttonExpandToExpandNewsBlock","","Sun Aug 31 13:04:00 NOVT 2025","passed","Sun Aug 31 13:04:07 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.MainTest","ru.iteco.fmhandroid.ui.tests.MainTest","buttonExpandToExpandNewsBlock"
"","16049","filteringNewsBuCategoryFilterWithRightDate","","Sun Aug 31 13:03:17 NOVT 2025","passed","Sun Aug 31 13:03:33 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.FilterNewsPageNewsTest","ru.iteco.fmhandroid.ui.tests.FilterNewsPageNewsTest","filteringNewsBuCategoryFilterWithRightDate"
"","10036","authorizationWithEmptyLoginAndPassword","","Sun Aug 31 12:56:02 NOVT 2025","broken","Sun Aug 31 12:56:12 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.AuthorizationTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTest","authorizationWithEmptyLoginAndPassword"
"","6183","verifyingAuthorizWithValidData","","Sun Aug 31 12:56:14 NOVT 2025","passed","Sun Aug 31 12:56:20 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.AuthorizationTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTest","verifyingAuthorizWithValidData"
"","9979","changingTheNewsCreationDate","","Sun Aug 31 12:51:38 NOVT 2025","failed","Sun Aug 31 12:51:48 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","changingTheNewsCreationDate"
"","12753","visibleDateOfTheNewsCreation","","Sun Aug 31 12:52:42 NOVT 2025","failed","Sun Aug 31 12:52:54 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","visibleDateOfTheNewsCreation"
"","7966","filteringOnlyActiveNews","","Sun Aug 31 12:51:03 NOVT 2025","passed","Sun Aug 31 12:51:11 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","filteringOnlyActiveNews"
"","15609","cancelEditingChangesHaveBeenMadeFields","","Sun Aug 31 12:52:25 NOVT 2025","passed","Sun Aug 31 12:52:40 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","cancelEditingChangesHaveBeenMadeFields"
"","7172","navigatingToTheNewsPageFromTheQuotePage","","Sun Aug 31 12:57:09 NOVT 2025","passed","Sun Aug 31 12:57:16 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","navigatingToTheNewsPageFromTheQuotePage"
"","15543","newsCreation","","Sun Aug 31 12:59:34 NOVT 2025","passed","Sun Aug 31 12:59:50 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","newsCreation"
"","8284","changingStatusOfAnAlreadyPublishedNewsItemFromActiveToInactive","","Sun Aug 31 12:52:06 NOVT 2025","passed","Sun Aug 31 12:52:15 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","changingStatusOfAnAlreadyPublishedNewsItemFromActiveToInactive"
"","9982","navigatingToTheMainPageFromTheControlPanelPage","","Sun Aug 31 12:57:31 NOVT 2025","passed","Sun Aug 31 12:57:41 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","navigatingToTheMainPageFromTheControlPanelPage"
